song,artist
I Had Some Help,Post Malone Featuring Morgan Wallen
Not Like Us,Kendrick Lamar
Million Dollar Baby,Tommy Richman
A Bar Song (Tipsy),Shaboozey
Espresso,Sabrina Carpenter
Pink Skies,Zach Bryan
Lose Control,Teddy Swims
Too Sweet,Hozier
Beautiful Things,Benson Boone
Lunch,Billie Eilish
Fortnight,Taylor Swift Featuring Post Malone
Birds Of A Feather,Billie Eilish
Like That,"Future, Metro Boomin & Kendrick Lamar"
Saturn,SZA
We Can't Be Friends (Wait For Your Love),Ariana Grande
Chihiro,Billie Eilish
Stick Season,Noah Kahan
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Lovin On Me,Jack Harlow
Cowgirls,Morgan Wallen Featuring ERNEST
Miles On It,Marshmello & Kane Brown
BAND4BAND,Central Cee & Lil Baby
Euphoria,Kendrick Lamar
Get It Sexyy,Sexyy Red
Austin,Dasha
Feather,Sabrina Carpenter
Wildflower,Billie Eilish
Yeah Glo!,GloRilla
Ain't No Love In Oklahoma,Luke Combs
I Can Do It With A Broken Heart,Taylor Swift
"Good Luck, Babe!",Chappell Roan
Gata Only,FloyyMenor X Cris Mj
Where It Ends,Bailey Zimmerman
L'amour De Ma Vie,Billie Eilish
Greedy,Tate McRae
I Like The Way You Kiss Me,Artemas
End Of Beginning,Djo
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
Wanna Be,GloRilla & Megan Thee Stallion
Bulletproof,Nate Smith
Down Bad,Taylor Swift
Agora Hills,Doja Cat
Slow It Down,Benson Boone
U My Everything,Sexyy Red & Drake
One Of Wun,Gunna
Whatever She Wants,Bryson Tiller
Blue,Billie Eilish
Texas Hold 'Em,Beyonce
Think I'm In Love With You,Chris Stapleton
The Greatest,Billie Eilish
Stargazing,Myles Smith
Sweet Dreams,Koe Wetzel
Skinny,Billie Eilish
Wild Ones,Jessie Murph & Jelly Roll
Made For Me,Muni Long
Redrum,21 Savage
Halfway To Hell,Jelly Roll
Who's Afraid Of Little Old Me?,Taylor Swift
Family Matters,Drake
FE!N,Travis Scott Featuring Playboi Carti
Dirt Cheap,Cody Johnson
The Diner,Billie Eilish
Si No Quieres No,Luis R Conriquez x Neton Vega
Guilty As Sin?,Taylor Swift
But Daddy I Love Him,Taylor Swift
Obsessed,Olivia Rodrigo
Carnival,Â¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
"So Long, London",Taylor Swift
We Ride,Bryan Martin
Scared To Start,Michael Marcagi
My Boy Only Breaks His Favorite Toys,Taylor Swift
Si No Es Contigo,Cris Mj
Bittersuite,Billie Eilish
Enough (Miami),Cardi B
Illusion,Dua Lipa
Get In With Me,BossMan DLow
Florida!!!,Taylor Swift Featuring Florence + The Machine
Wind Up Missin' You,Tucker Wetmore
The Smallest Man Who Ever Lived,Taylor Swift
The Tortured Poets Department,Taylor Swift
Hell N Back,Bakar Featuring Summer Walker
Belong Together,Mark Ambor
The Craving,Twenty One Pilots
After Hours,Kehlani
Take Her Home,Kenny Chesney
Back Then Right Now,Tyler Hubbard
Wondering Why,The Red Clay Strays
Tucson Too Late,Jordan Davis
Bandit,Don Toliver
Wine Into Whiskey,Tucker Wetmore
Push Ups,Drake
loml,Taylor Swift
Meet The Grahams,Kendrick Lamar
Outskirts,Sam Hunt
Your Place,Ashley Cooke
Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain
Heat Stick,Shoreline Mafia Presents OhGeesy & Fenix Flexin
The Alchemy,Taylor Swift
On One Tonight,Gunna
Tu Name,Fuerza Regida
